Supplier name 1,Supplier name 2,Similarity score
AZUR TRAITEUR,PATRY TRAITEUR,81
CANAL PUBLICITE,OPAL PUBLICITE,83
RUN2DAY ROTTERDAM,RUN2DAY AMSTERDAM,82
AU STUDIO,STUDIO 5,82
APTUS PERSONNEL,HAYS PERSONNEL,83
PRINTING PEOPLE,PNO PRINTING,81
TV LICENSING,TV LICENCING,92
ALES,ALLES,89
LA POSTE,POSTE   LA,100
NEDERLANDSE ORDE VAN,OCE NEDERLANDSE,80
INTERNATIONAL SPORT CONSULTANCY,INTERNATIONAL SPORT CULT,87
EQ GMBH,EHI GMBH,80
EQ GMBH,FES GMBH,80
ATLAS INTERNATIONAL MOVERS,INTERDEAN INTERNATIONAL MOVERS,82
HEATON STATIONERY LIMITED,HSL HEATON STATIONARY LTD.,80
PRAGMA SOFTWARE,HRM SOFTWARE,81
IBM  DEUTSCHLAND GMBH,IKEA DEUTSCHLAND GMBH,88
IBM  DEUTSCHLAND GMBH,HTS DEUTSCHLAND GMBH,85
IBM  DEUTSCHLAND GMBH,UUNET DEUTSCHLAND GMBH,81
IBM  DEUTSCHLAND GMBH,ADT DEUTSCHLAND GMBH,80
BRAUN JULIA,BARDUHN JULIA,83
"CERRAJERIA COMAS, S.A.",CERRAJERIA COMAS S.A.,100
KOCH ENTSORGUNG GMBH & CO. KG,WAGNER ENTSORGUNG GMBH & CO. KG,81
HOFMANN GMBH,HOBERMANN GMBH,85
HOFMANN GMBH,HOPAN GMBH,82
IKEA ITALIA RETAIL SRL,IKEA ITALIA RETAIL S.R.L.,87
DELOITTE,DELAMOTTE,82
UNIPAK (UK),UNIPAK UK LTD,82
AMET,AMETRA,80
AMET,AMETIF,80
POINTER LIMITED,NPOWER LIMITED,83
POINTER LIMITED,LINAKER LIMITED,80
NPOWER,MANPOWER,86
HEXFAX LIMITED,LEAX LIMITED,85
FRANCESC ROS FUSTERIA DECORACIO,"FRANCESC ROS FUSTERIA DECORACIO, S.",97
